gender,cohort,name,ascii_atom,weight
male,2000-2005,Antonio,antonio,2
male,2000-2005,Arrigo,arrigo,1
male,2000-2005,Basilio,basilio,1
male,2000-2005,Carlo,carlo,2
male,2000-2005,Christian,christian,2
male,2000-2005,Claudio,claudio,2
male,2000-2005,Cristiano,cristiano,2
male,2000-2005,Damiano,damiano,2
male,2000-2005,Daniele,daniele,2
male,2000-2005,Dario,dario,2
male,2000-2005,Davide,davide,4
male,2000-2005,Diego,diego,2
male,2000-2005,Edoardo,edoardo,4
male,2000-2005,Elia,elia,2
male,2000-2005,Eliseo,eliseo,1
male,2000-2005,Emanuele,emanuele,2
male,2000-2005,Emiliano,emiliano,2
male,2000-2005,Enea,enea,2
male,2000-2005,Enrico,enrico,2
male,2000-2005,Fabio,fabio,2
male,2000-2005,Fabrizio,fabrizio,2
male,2000-2005,Federico,federico,4
male,2000-2005,Filippo,filippo,4
male,2000-2005,Flavio,flavio,2
male,2000-2005,Francesco,francesco,4
male,2000-2005,Gabriele,gabriele,4
male,2000-2005,Gianluca,gianluca,2
male,2000-2005,Giorgio,giorgio,2
male,2000-2005,Giovanni,giovanni,2
male,2000-2005,Giulio,giulio,1
male,2000-2005,Giuseppe,giuseppe,4
male,2000-2005,Gregorio,gregorio,2
male,2000-2005,Italo,italo,1
male,2000-2005,Jacopo,jacopo,2
male,2000-2005,Kevin,kevin,2
male,2000-2005,Leonardo,leonardo,4
male,2000-2005,Lorenzo,lorenzo,4
male,2000-2005,Loris,loris,2
male,2000-2005,Luca,luca,4
male,2000-2005,Manlio,manlio,1
male,2000-2005,Manuel,manuel,2
male,2000-2005,Marco,marco,4
male,2000-2005,Marino,marino,1
male,2000-2005,Mario,mario,1
male,2000-2005,Massimiliano,massimiliano,2
male,2000-2005,Matteo,matteo,4
male,2000-2005,Mattia,mattia,4
male,2000-2005,Maurizio,maurizio,2
male,2000-2005,Mauro,mauro,1
male,2000-2005,Michele,michele,2
male,2000-2005,Mirko,mirko,2
male,2000-2005,Niccolò,niccolo,2
male,2000-2005,Nicola,nicola,2
male,2000-2005,Nicolò,nicolo,2
male,2000-2005,Norberto,norberto,1
male,2000-2005,Orazio,orazio,1
male,2000-2005,Paolo,paolo,2
male,2000-2005,Pierluigi,pierluigi,1
male,2000-2005,Pietro,pietro,2
male,2000-2005,Riccardo,riccardo,4
male,2000-2005,Roberto,roberto,2
male,2000-2005,Rocco,rocco,1
male,2000-2005,Rosario,rosario,1
male,2000-2005,Samuele,samuele,4
male,2000-2005,Sebastiano,sebastiano,2
male,2000-2005,Sergio,sergio,1
male,2000-2005,Simone,simone,4
male,2000-2005,Stefano,stefano,2
male,2000-2005,Tommaso,tommaso,4
male,2000-2005,Valerio,valerio,2
male,2000-2005,Vincenzo,vincenzo,2
male,2000-2005,Vito,vito,1
